level,product_id,identifier,filename,feature_id,start_datetime,completion_datetime,center_lon,center_lat,time_bin,lat_band,lon_band,stratum,stratum_population_n,stratum_sample_n,inclusion_probability,design_weight,sample_order
L1C,2275,phisat_PHISAT-2_L1_000002275_20250516080112_20250516080115_576D9844.zip,PHISAT-2_L1_000002275_20250516080112_20250516080115_576D9844.zip,5375d22b-210a-54a8-870c-1ce66eb199fb,2025-05-16 08:01:12+00:00,2025-05-16 08:01:15+00:00,43.482215665,29.577020136,2,2,2,T2_A2_L2,261,3,0.011494252873563218,87.0,27
L1C,2315,phisat_PHISAT-2_L1_000002315_20250520081244_20250520081247_33A88897.zip,PHISAT-2_L1_000002315_20250520081244_20250520081247_33A88897.zip,976fb822-8070-5275-a17c-c7e1b9840850,2025-05-20 08:12:44+00:00,2025-05-20 08:12:47+00:00,37.2672319,12.648566624,2,1,2,T2_A1_L2,35,1,0.02857142857142857,35.0,28
L1C,2366,phisat_PHISAT-2_L1_000002366_20250525172359_20250525172402_8EE8A5FC.zip,PHISAT-2_L1_000002366_20250525172359_20250525172402_8EE8A5FC.zip,c02193a8-75c0-5ce4-b039-6b457ac0cc5d,2025-05-25 17:23:59+00:00,2025-05-25 17:24:02+00:00,-99.682251173,17.03043799,2,1,0,T2_A1_L0,3,1,0.3333333333333333,3.0,29
L1C,2461,phisat_PHISAT-2_L1_000002461_20250605210244_20250605210247_0B008A03.zip,PHISAT-2_L1_000002461_20250605210244_20250605210247_0B008A03.zip,d0257e9d-605f-5bed-90c0-58e6c3c85ad2,2025-06-05 21:02:44+00:00,2025-06-05 21:02:47+00:00,-141.606425806,61.829654961,2,2,0,T2_A2_L0,216,3,0.013888888888888888,72.0,30
L1C,2539,phisat_PHISAT-2_L1_000002539_20250612090634_20250612090637_D8EA3E51.zip,PHISAT-2_L1_000002539_20250612090634_20250612090637_D8EA3E51.zip,787909e9-9e68-549d-910f-280d3d76c474,2025-06-12 09:06:34+00:00,2025-06-12 09:06:37+00:00,28.961105102,40.853442452,2,2,2,T2_A2_L2,261,3,0.011494252873563218,87.0,31
L1C,2549,phisat_PHISAT-2_L1_000002549_20250613090359_20250613090402_23C5BC4B.zip,PHISAT-2_L1_000002549_20250613090359_20250613090402_23C5BC4B.zip,6b990c16-2c64-55df-b5fb-32d8553ab308,2025-06-13 09:03:59+00:00,2025-06-13 09:04:02+00:00,17.858850414,-33.180779284,2,0,2,T2_A0_L2,11,1,0.09090909090909091,11.0,32
L1C,2613,phisat_PHISAT-2_L1_000002613_20250620141639_20250620141642_19A69C11.zip,PHISAT-2_L1_000002613_20250620141639_20250620141642_19A69C11.zip,a158bd25-4daa-5cbd-ade9-da83bf39c9d8,2025-06-20 14:16:39+00:00,2025-06-20 14:16:42+00:00,-56.135387525,-15.78919643,2,1,1,T2_A1_L1,76,1,0.013157894736842105,76.0,33
L1C,2635,phisat_PHISAT-2_L1_000002635_20250622114232_20250622114235_0836D392.zip,PHISAT-2_L1_000002635_20250622114232_20250622114235_0836D392.zip,6d8720aa-db28-5492-b972-babbcb353c23,2025-06-22 11:42:32+00:00,2025-06-22 11:42:35+00:00,-8.472447033,41.633984445,2,2,1,T2_A2_L1,152,2,0.013157894736842105,76.0,34
L1C,2640,phisat_PHISAT-2_L1_000002640_20250622210441_20250622210444_473EF5EF.zip,PHISAT-2_L1_000002640_20250622210441_20250622210444_473EF5EF.zip,5b1adf2e-db32-5a9f-999b-7f912d063be1,2025-06-22 21:04:41+00:00,2025-06-22 21:04:44+00:00,-141.575317108,59.875816408,2,2,0,T2_A2_L0,216,3,0.013888888888888888,72.0,35
L1C,2695,phisat_PHISAT-2_L1_000002695_20250704024816_20250704024819_96A219F3.zip,PHISAT-2_L1_000002695_20250704024816_20250704024819_96A219F3.zip,3620eb93-6a25-5482-a39f-9c76fb9aa157,2025-07-04 02:48:16+00:00,2025-07-04 02:48:19+00:00,115.096478273,-21.826202319,2,0,3,T2_A0_L3,49,1,0.02040816326530612,49.00000000000001,36
