product_id,analysis_design_weight,valid_primary_bands,median_shift_px_across_bands,max_shift_px_across_bands,median_response_across_bands,median_corr_gain_across_bands
4423,104.5,7,6.769112673545624,15.48749615035611,0.2503971327096224,-0.0194555544905394
4447,104.5,7,1.388075338127578,15.892788448726362,0.269694279297255,0.0002966778652093
4461,26.0,7,1.5987186312361228,93.9916683904094,0.0785797525895759,0.0082879738205182
4576,48.0,7,1.8115979693473208,3.645234524737599,0.4151311982204788,0.0010829970960386
4689,27.0,7,0.8646534508520244,1.455417241251925,0.5673409996088594,0.0018217082088297
4797,65.5,7,1.0261508415029863,2.257836416535549,0.3062326477374881,0.0026376808321235
4844,119.0,7,1.0680770211434891,2.031059743554698,0.8264062394155189,9.378170242868578e-05
4909,47.0,7,2.435012895525181,3.926428550865515,0.4479075997369364,0.0007072701190494
4952,9.0,7,1.4230712572222648,2.94332811256239,0.4602437177672982,5.281888300034954e-05
4993,88.0,7,96.22398727148544,2047.2200834231887,0.0313810563820879,0.0668761528497197
5142,60.0,7,1.9332227633698031,6.4034083353665965,0.4906087326817214,4.698640332478909e-06
5185,65.0,7,1.3714576650664976,1.7524870927212872,0.228487000480527,0.0005360039072007
5287,18.0,7,0.4658470651260788,1.1640028171335026,0.8135457547614351,0.0008876666913064
5326,75.0,7,0.9363219046552635,2.840133390151093,0.7903431990125682,-3.062491494132402e-05
5481,19.0,6,454.7292750912564,997.9889527012816,0.0011508620864333,0.0387609588633186
5492,67.39999999999999,7,1.4244554726035077,1771.7409747293918,0.404839139431715,0.0019405837978647
5545,56.0,7,16.540137898328528,67.4233721066692,0.1196758195728762,0.0001674507156945
5629,67.39999999999999,7,2.301106031290594,1740.74095295407,0.4242250807583332,0.000300047769125
5701,47.0,6,918.2039169490874,2164.72500074598,0.00709194213914085,0.005011829936550799
5821,45.0,6,481.78352264324815,838.410729540773,0.00216727038787205,-0.0022056360513472
5879,67.39999999999999,7,361.1996479031445,631.0437418691282,0.0006414212039089,-0.0298032831023935
5891,67.39999999999999,7,0.8348156557749427,1.4139023461231357,0.4592540584271773,9.845632992677712e-05
5970,101.5,7,1.665621613330842,4.192923709418075,0.5671764612197876,-2.3777170808592096e-05
6004,71.0,7,3.2622091938403504,42.14731224169067,0.1709878515684977,0.0025245510008586
6102,101.5,7,7.0465632099681,11.930678242812036,0.2376229889050591,-0.0009176624577031
6233,56.0,7,2.0728961888456,399.7786444777869,0.3446175972931087,-0.0010316962940795
6539,82.33333333333333,7,3.561804612846214,10.850045714581896,0.3308336017653346,0.0003066740111481
6768,101.5,7,0.8357584255777253,1.127231764145399,0.722549038939178,0.0007240219236311
6826,126.0,7,2.5038920484435567,4.054936022940758,0.5471118521236349,0.0017166495649112
6902,82.33333333333333,7,0.9924341769342704,2.1586439955466554,0.6844279579818249,0.0019831544204738
6939,67.39999999999999,7,1.8405914620997752,113.994400236601,0.5556247299537063,0.0002657195778762
6971,71.0,7,14.83672080529039,67.50487869897115,0.1697927842033095,-0.0220763816214444
7064,56.0,7,0.8835666341308706,2.6739893905156884,0.6508365404242795,0.0008242570759996
7085,56.0,7,1.9732368532344664,6.333083018712705,0.708205934286525,0.0040634470608166
